length,rank,count,pct,sequence,short
7,17,21,0.69,B:Q16|W:D4|B:Q3|W:D17|B:C3|W:D3|B:C4,Q16·D4·Q3·D17·C3·D3·C4
7,18,19,0.63,B:Q16|W:D16|B:Q3|W:D4|B:O17|W:R5|B:O4,Q16·D16·Q3·D4·O17·R5·O4
7,19,19,0.63,B:Q16|W:D4|B:Q4|W:D17|B:C15|W:C16|B:D15,Q16·D4·Q4·D17·C15·C16·D15
7,20,18,0.6,B:Q16|W:D16|B:R4|W:D4|B:O4|W:R17|B:R16,Q16·D16·R4·D4·O4·R17·R16
8,1,52,1.72,B:Q16|W:D4|B:Q3|W:D16|B:C3|W:D3|B:C4|W:D5,Q16·D4·Q3·D16·C3·D3·C4·D5
8,2,40,1.32,B:R16|W:D16|B:Q3|W:D4|B:O16|W:Q5|B:R5|W:R6,R16·D16·Q3·D4·O16·Q5·R5·R6
8,3,35,1.16,B:Q16|W:D16|B:Q4|W:D4|B:C3|W:D3|B:C4|W:D5,Q16·D16·Q4·D4·C3·D3·C4·D5
8,4,31,1.03,B:Q16|W:D4|B:Q4|W:D16|B:C3|W:D3|B:C4|W:D5,Q16·D4·Q4·D16·C3·D3·C4·D5
8,5,28,0.93,B:Q16|W:D16|B:Q3|W:D4|B:C3|W:D3|B:C4|W:D5,Q16·D16·Q3·D4·C3·D3·C4·D5
8,6,27,0.89,B:R16|W:D16|B:Q3|W:D4|B:P17|W:R5|B:O4|W:O16,R16·D16·Q3·D4·P17·R5·O4·O16
8,7,23,0.76,B:R16|W:D16|B:Q3|W:D3|B:C17|W:C16|B:D17|W:E16,R16·D16·Q3·D3·C17·C16·D17·E16
8,8,23,0.76,B:Q16|W:D16|B:Q4|W:D3|B:C17|W:C16|B:D17|W:E16,Q16·D16·Q4·D3·C17·C16·D17·E16
8,9,22,0.73,B:Q16|W:D4|B:C3|W:D3|B:C4|W:D5|B:B6|W:D16,Q16·D4·C3·D3·C4·D5·B6·D16
8,10,22,0.73,B:Q16|W:D4|B:Q3|W:D17|B:C3|W:C4|B:D3|W:E4,Q16·D4·Q3·D17·C3·C4·D3·E4
8,11,22,0.73,B:R16|W:D16|B:Q3|W:D4|B:O16|W:R5|B:O4|W:Q9,R16·D16·Q3·D4·O16·R5·O4·Q9
8,12,21,0.69,B:Q16|W:D16|B:R4|W:D3|B:C5|W:C4|B:D5|W:F3,Q16·D16·R4·D3·C5·C4·D5·F3
8,13,19,0.63,B:Q16|W:D4|B:Q4|W:D17|B:C15|W:C16|B:D15|W:F17,Q16·D4·Q4·D17·C15·C16·D15·F17
8,14,19,0.63,B:Q16|W:D4|B:Q4|W:D17|B:C3|W:C4|B:D3|W:E4,Q16·D4·Q4·D17·C3·C4·D3·E4
8,15,18,0.6,B:Q16|W:D16|B:R4|W:D4|B:O4|W:R17|B:R16|W:Q17,Q16·D16·R4·D4·O4·R17·R16·Q17
8,16,18,0.6,B:Q16|W:D4|B:Q3|W:D17|B:C15|W:C16|B:D15|W:F17,Q16·D4·Q3·D17·C15·C16·D15·F17
8,17,17,0.56,B:Q16|W:D4|B:R4|W:D16|B:P4|W:R17|B:R16|W:Q17,Q16·D4·R4·D16·P4·R17·R16·Q17
8,18,16,0.53,B:R16|W:D16|B:Q3|W:D4|B:P17|W:R5|B:P4|W:R8,R16·D16·Q3·D4·P17·R5·P4·R8
8,19,16,0.53,B:R16|W:D16|B:Q3|W:D4|B:P17|W:Q5|B:R5|W:R6,R16·D16·Q3·D4·P17·Q5·R5·R6
8,20,16,0.53,B:Q16|W:D16|B:Q4|W:D3|B:C5|W:C4|B:D5|W:F3,Q16·D16·Q4·D3·C5·C4·D5·F3
9,1,47,1.55,B:Q16|W:D4|B:Q3|W:D16|B:C3|W:D3|B:C4|W:D5|B:B6,Q16·D4·Q3·D16·C3·D3·C4·D5·B6
9,2,40,1.32,B:R16|W:D16|B:Q3|W:D4|B:O16|W:Q5|B:R5|W:R6|B:R4,R16·D16·Q3·D4·O16·Q5·R5·R6·R4
9,3,33,1.09,B:Q16|W:D16|B:Q4|W:D4|B:C3|W:D3|B:C4|W:D5|B:B6,Q16·D16·Q4·D4·C3·D3·C4·D5·B6
9,4,27,0.89,B:Q16|W:D4|B:Q4|W:D16|B:C3|W:D3|B:C4|W:D5|B:B6,Q16·D4·Q4·D16·C3·D3·C4·D5·B6
9,5,23,0.76,B:R16|W:D16|B:Q3|W:D3|B:C17|W:C16|B:D17|W:E16|B:F18,R16·D16·Q3·D3·C17·C16·D17·E16·F18
9,6,21,0.69,B:Q16|W:D16|B:Q3|W:D4|B:C3|W:D3|B:C4|W:D5|B:B6,Q16·D16·Q3·D4·C3·D3·C4·D5·B6
9,7,18,0.6,B:Q16|W:D16|B:R4|W:D3|B:C5|W:C4|B:D5|W:F3|B:D9,Q16·D16·R4·D3·C5·C4·D5·F3·D9
9,8,18,0.6,B:Q16|W:D16|B:Q4|W:D3|B:C17|W:C16|B:D17|W:E16|B:F17,Q16·D16·Q4·D3·C17·C16·D17·E16·F17
9,9,17,0.56,B:Q16|W:D4|B:Q3|W:D17|B:C3|W:C4|B:D3|W:E4|B:F2,Q16·D4·Q3·D17·C3·C4·D3·E4·F2
9,10,16,0.53,B:Q16|W:D16|B:R4|W:D4|B:O4|W:R17|B:R16|W:Q17|B:O17,Q16·D16·R4·D4·O4·R17·R16·Q17·O17
9,11,16,0.53,B:R16|W:D16|B:Q3|W:D4|B:P17|W:Q5|B:R5|W:R6|B:R4,R16·D16·Q3·D4·P17·Q5·R5·R6·R4
9,12,16,0.53,B:Q16|W:D4|B:Q4|W:D17|B:C3|W:C4|B:D3|W:E4|B:F3,Q16·D4·Q4·D17·C3·C4·D3·E4·F3
9,13,15,0.5,B:Q16|W:D16|B:Q3|W:D3|B:C17|W:C16|B:D17|W:E16|B:F18,Q16·D16·Q3·D3·C17·C16·D17·E16·F18
9,14,15,0.5,B:R16|W:D17|B:D4|W:Q4|B:C15|W:P17|B:E16|W:E17|B:F16,R16·D17·D4·Q4·C15·P17·E16·E17·F16
9,15,14,0.46,B:Q16|W:D4|B:Q3|W:D17|B:C15|W:C16|B:D15|W:F17|B:D11,Q16·D4·Q3·D17·C15·C16·D15·F17·D11
9,16,13,0.43,B:Q16|W:D4|B:R4|W:D16|B:P4|W:R17|B:R16|W:Q17|B:O17,Q16·D4·R4·D16·P4·R17·R16·Q17·O17
9,17,13,0.43,B:R16|W:D16|B:Q3|W:D4|B:P17|W:R5|B:O4|W:O16|B:F17,R16·D16·Q3·D4·P17·R5·O4·O16·F17
9,18,12,0.4,B:Q16|W:D16|B:Q4|W:D3|B:C5|W:C4|B:D5|W:F3|B:D9,Q16·D16·Q4·D3·C5·C4·D5·F3·D9
9,19,12,0.4,B:Q16|W:D4|B:Q3|W:D17|B:C3|W:D3|B:C4|W:D5|B:B6,Q16·D4·Q3·D17·C3·D3·C4·D5·B6
9,20,11,0.36,B:R16|W:D4|B:D17|W:Q4|B:D14|W:P16|B:P17|W:O17|B:Q17,R16·D4·D17·Q4·D14·P16·P17·O17·Q17
10,1,40,1.32,B:R16|W:D16|B:Q3|W:D4|B:O16|W:Q5|B:R5|W:R6|B:R4|W:Q6,R16·D16·Q3·D4·O16·Q5·R5·R6·R4·Q6
10,2,26,0.86,B:Q16|W:D4|B:Q3|W:D16|B:C3|W:D3|B:C4|W:D5|B:B6|W:R17,Q16·D4·Q3·D16·C3·D3·C4·D5·B6·R17
10,3,25,0.83,B:Q16|W:D16|B:Q4|W:D4|B:C3|W:D3|B:C4|W:D5|B:B6|W:R17,Q16·D16·Q4·D4·C3·D3·C4·D5·B6·R17
10,4,24,0.79,B:Q16|W:D4|B:Q4|W:D16|B:C3|W:D3|B:C4|W:D5|B:B6|W:R17,Q16·D4·Q4·D16·C3·D3·C4·D5·B6·R17
10,5,18,0.6,B:Q16|W:D4|B:Q3|W:D16|B:C3|W:D3|B:C4|W:D5|B:B6|W:R5,Q16·D4·Q3·D16·C3·D3·C4·D5·B6·R5
10,6,17,0.56,B:R16|W:D16|B:Q3|W:D3|B:C17|W:C16|B:D17|W:E16|B:F18|W:P17,R16·D16·Q3·D3·C17·C16·D17·E16·F18·P17
10,7,15,0.5,B:Q16|W:D16|B:R4|W:D4|B:O4|W:R17|B:R16|W:Q17|B:O17|W:P17,Q16·D16·R4·D4·O4·R17·R16·Q17·O17·P17
10,8,15,0.5,B:Q16|W:D16|B:R4|W:D3|B:C5|W:C4|B:D5|W:F3|B:D9|W:P3,Q16·D16·R4·D3·C5·C4·D5·F3·D9·P3
10,9,15,0.5,B:R16|W:D17|B:D4|W:Q4|B:C15|W:P17|B:E16|W:E17|B:F16|W:G17,R16·D17·D4·Q4·C15·P17·E16·E17·F16·G17
10,10,14,0.46,B:Q16|W:D16|B:Q3|W:D4|B:C3|W:D3|B:C4|W:D5|B:B6|W:R17,Q16·D16·Q3·D4·C3·D3·C4·D5·B6·R17
10,11,13,0.43,B:R16|W:D16|B:Q3|W:D4|B:P17|W:R5|B:O4|W:O16|B:F17|W:H17,R16·D16·Q3·D4·P17·R5·O4·O16·F17·H17
10,12,13,0.43,B:R16|W:D16|B:Q3|W:D4|B:P17|W:Q5|B:R5|W:R6|B:R4|W:Q6,R16·D16·Q3·D4·P17·Q5·R5·R6·R4·Q6
10,13,11,0.36,B:R16|W:D4|B:D17|W:Q4|B:D14|W:P16|B:P17|W:O17|B:Q17|W:O16,R16·D4·D17·Q4·D14·P16·P17·O17·Q17·O16
10,14,11,0.36,B:Q16|W:D4|B:R4|W:D16|B:P4|W:R17|B:R16|W:Q17|B:O17|W:P17,Q16·D4·R4·D16·P4·R17·R16·Q17·O17·P17
10,15,11,0.36,B:Q16|W:D16|B:Q4|W:D3|B:C17|W:C16|B:D17|W:E16|B:F17|W:R3,Q16·D16·Q4·D3·C17·C16·D17·E16·F17·R3
10,16,10,0.33,B:R16|W:D4|B:C16|W:Q4|B:O16|W:E16|B:E17|W:F17|B:D17|W:F16,R16·D4·C16·Q4·O16·E16·E17·F17·D17·F16
10,17,10,0.33,B:Q16|W:D4|B:Q3|W:D17|B:C3|W:C4|B:D3|W:E4|B:F2|W:D15,Q16·D4·Q3·D17·C3·C4·D3·E4·F2·D15
10,18,10,0.33,B:R16|W:D16|B:Q3|W:D3|B:O16|W:R5|B:O4|W:Q9|B:C17|W:C16,R16·D16·Q3·D3·O16·R5·O4·Q9·C17·C16
10,19,10,0.33,B:Q16|W:D4|B:Q3|W:D17|B:C15|W:C16|B:D15|W:F17|B:D11|W:R5,Q16·D4·Q3·D17·C15·C16·D15·F17·D11·R5
10,20,10,0.33,B:R16|W:D16|B:Q3|W:D3|B:O16|W:Q5|B:R5|W:R6|B:R4|W:Q6,R16·D16·Q3·D3·O16·Q5·R5·R6·R4·Q6
11,1,40,1.32,B:R16|W:D16|B:Q3|W:D4|B:O16|W:Q5|B:R5|W:R6|B:R4|W:Q6|B:O3,R16·D16·Q3·D4·O16·Q5·R5·R6·R4·Q6·O3
11,2,25,0.83,B:Q16|W:D4|B:Q3|W:D16|B:C3|W:D3|B:C4|W:D5|B:B6|W:R17|B:R16,Q16·D4·Q3·D16·C3·D3·C4·D5·B6·R17·R16
11,3,15,0.5,B:Q16|W:D4|B:Q3|W:D16|B:C3|W:D3|B:C4|W:D5|B:B6|W:R5|B:P4,Q16·D4·Q3·D16·C3·D3·C4·D5·B6·R5·P4
11,4,15,0.5,B:Q16|W:D16|B:Q4|W:D4|B:C3|W:D3|B:C4|W:D5|B:B6|W:R17|B:R16,Q16·D16·Q4·D4·C3·D3·C4·D5·B6·R17·R16
11,5,15,0.5,B:Q16|W:D16|B:R4|W:D4|B:O4|W:R17|B:R16|W:Q17|B:O17|W:P17|B:P16,Q16·D16·R4·D4·O4·R17·R16·Q17·O17·P17·P16
11,6,15,0.5,B:Q16|W:D4|B:Q4|W:D16|B:C3|W:D3|B:C4|W:D5|B:B6|W:R17|B:R16,Q16·D4·Q4·D16·C3·D3·C4·D5·B6·R17·R16
11,7,15,0.5,B:R16|W:D17|B:D4|W:Q4|B:C15|W:P17|B:E16|W:E17|B:F16|W:G17|B:Q15,R16·D17·D4·Q4·C15·P17·E16·E17·F16·G17·Q15
11,8,13,0.43,B:R16|W:D16|B:Q3|W:D4|B:P17|W:Q5|B:R5|W:R6|B:R4|W:Q6|B:O3,R16·D16·Q3·D4·P17·Q5·R5·R6·R4·Q6·O3
11,9,12,0.4,B:Q16|W:D16|B:Q3|W:D4|B:C3|W:D3|B:C4|W:D5|B:B6|W:R17|B:R16,Q16·D16·Q3·D4·C3·D3·C4·D5·B6·R17·R16
11,10,12,0.4,B:Q16|W:D16|B:R4|W:D3|B:C5|W:C4|B:D5|W:F3|B:D9|W:P3|B:Q5,Q16·D16·R4·D3·C5·C4·D5·F3·D9·P3·Q5
11,11,11,0.36,B:R16|W:D4|B:D17|W:Q4|B:D14|W:P16|B:P17|W:O17|B:Q17|W:O16|B:R14,R16·D4·D17·Q4·D14·P16·P17·O17·Q17·O16·R14
11,12,11,0.36,B:Q16|W:D4|B:R4|W:D16|B:P4|W:R17|B:R16|W:Q17|B:O17|W:P17|B:P16,Q16·D4·R4·D16·P4·R17·R16·Q17·O17·P17·P16
11,13,10,0.33,B:R16|W:D4|B:C16|W:Q4|B:O16|W:E16|B:E17|W:F17|B:D17|W:F16|B:C14,R16·D4·C16·Q4·O16·E16·E17·F17·D17·F16·C14
11,14,10,0.33,B:R16|W:D16|B:Q3|W:D3|B:O16|W:R5|B:O4|W:Q9|B:C17|W:C16|B:D17,R16·D16·Q3·D3·O16·R5·O4·Q9·C17·C16·D17
11,15,10,0.33,B:R16|W:D16|B:Q3|W:D3|B:O16|W:Q5|B:R5|W:R6|B:R4|W:Q6|B:O3,R16·D16·Q3·D3·O16·Q5·R5·R6·R4·Q6·O3
11,16,10,0.33,B:Q16|W:D16|B:Q4|W:D4|B:C3|W:D3|B:C4|W:D5|B:B6|W:R17|B:Q17,Q16·D16·Q4·D4·C3·D3·C4·D5·B6·R17·Q17
11,17,9,0.3,B:Q16|W:D16|B:R4|W:D4|B:P4|W:O4|B:O3|W:N3|B:N4|W:O5|B:N5,Q16·D16·R4·D4·P4·O4·O3·N3·N4·O5·N5
11,18,9,0.3,B:R16|W:D16|B:Q3|W:D4|B:P17|W:R5|B:O4|W:O16|B:F17|W:H17|B:O17,R16·D16·Q3·D4·P17·R5·O4·O16·F17·H17·O17
11,19,9,0.3,B:Q16|W:D4|B:Q3|W:D16|B:Q5|W:R17|B:R16|W:Q17|B:O17|W:P17|B:P16,Q16·D4·Q3·D16·Q5·R17·R16·Q17·O17·P17·P16
